Marka;Model;Nozul;Basınç (bar);Debi (L/dk);Yarıçap (m);Yağış Hızı (mm/saat)
Rain Bird;Uni Sprey Serisi;US410 Sprey Sprink;2,1;5,5;3,1;71
Rain Bird;Uni Sprey Serisi;US412 Sprey Sprink;2,1;4,51;3,7;40
Rain Bird;Uni Sprey Serisi;US415 Sprey Sprink;2,1;7;4,6;40
Rain Bird;Uni Sprey Serisi;US418 Sprey Sprink;2,1;10,1;5,5;40
Rain Bird;Van Serisi;4 Van Nozul;2,1;1,7;1,2;139
Rain Bird;Van Serisi;6 Van Nozul;2,1;2,3;1,8;86
Rain Bird;Van Serisi;8 Van Nozul;2,1;4,5;2,4;94
Rain Bird;3500 Series;3504 Rotor Sprink;3;11,13;9,4;15
Rain Bird;5000 Series;5004 Rotor Sprink;3;11,4;12,1;9
